184,118
133,137
127,126
166,166
122,185
137,115
100,122
122,47
111,63
62,91
77,103
129,91
130,92
72,83
77,86
131,130
73,218
56,231
130,126
195,213
195,175
268,568
185,81
144,376
434,339
235,292
317,401
242,320
314,357
294,480
437,52
470,539
230,90
296,170
288,186
263,255
289,315
102,63
140,118
58,169
109,194
350,589
425,288
436,348
132,66
224,102
176,350
224,408
202,535
303,490
390,421
365,278
155,244
91,149
255,192
286,212
93,219
85,243
83,246
82,249
82,252
80,255
79,258
79,261
79,264
79,267
79,269
79,272
80,274
81,277
402,228
400,221
398,211
384,167
381,159
379,151
377,146
375,139
372,136
365,116
240,330
248,336
280,366
300,355
243,285
212,288
339,401
345,393
370,357
431,210
234,567
256,555
282,535
316,498
332,476
119,553
67,329
58,417
152,197
64,388
356,565
357,560
358,557
360,552
362,548
363,544
365,540
368,537
371,534
372,530
374,526
376,522
378,519
380,515
382,511
384,508
387,504
389,501
391,497
394,494
396,490
398,487
400,483
402,479
404,476
406,472
408,468
410,464
412,461
414,457
415,453
417,449
419,445
420,441
421,437
422,433
424,429
425,425
426,421
427,417
428,413
428,409
429,405
429,401
430,397
431,393
432,389
432,385
433,380
434,376
434,372
435,367
435,363
435,359
354,434
434,350
435,346
435,341
436,336
436,332
436,327
436,323
436,318
435,314
433,311
432,307
430,303
429,299
428,295
426,291
425,287
423,283
422,279
420,275
418,272
416,268
414,265
412,261
409,258
407,255
234,315
236,316
237,318
239,320
342,322
245,324
249,326
253,328
256,329
260,330
263,331
266,332
269,332
272,333
275,333
183,436
189,428
152,476
195,421
201,412
287,35
288,39
287,41
287,42
288,44
288,47
289,48
290,51
291,51
291,53
292,53
293,55
294,56
295,57
296,59
298,59
300,60
301,62
302,63
302,65
303,65
235,122
235,125
235,128
235,132
236,135
236,138
237,140
236,142
237,145
238,148
238,151
238,155
239,158
239,161
240,164
241,166
240,168
242,171
241,175
242,179
243,181
281,266
279,267
277,269
276,271
274,273
273,275
271,277
270,279
269,282
267,284
266,286
265,288
263,291
262,293
261,295
259,297
258,299
257,302
255,304
254,306
253,308
251,310
250,313
245,315
247,318
246,319
244,322
243,324
241,326
240,328
239,330
237,333
236,335
234,337
233,339
232,342
230,344
229,346
227,348
226,351
225,353
223,355
222,358
221,360
219,362
218,365
217,367
216,369
214,372
213,374
212,376
154,98
157,98
159,99
161,101
164,102
166,104
168,106
170,108
172,110
174,112
176,115
178,117
180,119
182,122
184,124
186,126
188,127
190,129
192,131
194,132
195,134
197,135
199,136
201,138
202,139
204,140
206,141
208,142
210,144
211,145
213,146
